id,song_normalized,artist_normalized,lyrics,is_hit,decade
5tI6y3aOo5UFQppvXlbw2m,black tar,scalp,"No pity for a junkie

Families cry
Steal and you lie
Hitting a girl
Feel like a big fucking guy
Causing us pain
To fill up your veins
Selling your children
To get your fulfillment
OD in your home
Totally alone
Die for this world
Which despises your soul
Snap of the cross
A Christ that forgives
Torture the lamb you piece of shit

Youre the one that gets to die

Now you want change
Forgiveness and praise
Reborn anew
Sins washed away
Dying for you
A painless pursuit
One final high
A comfort that's screwed

Waiting to suffer
Aching to die

DOSING TO DIE
ROTTING FROM INSIDE
DOSING TO DIE
DOSING TO FUCKING DIE",0,2020s
6AK4CsZUeSnW8jVN5rVpl8,little bit o soul 2002 remaster,ramones,"Now when you're feelin' low
And the fish won't bite
You need a little bit o' soul
To put you right
You gotta make like you
Wanna kneel and pray
And then a little bit o' soul
Will come your way

Now when your girl has gone
And you're broke in two
You need a little bit o' soul
To see you through
And when you raise the roof
With you rock and roll
You'll get a lot more kicks
With a little bit o' soul

And if your party falls
'Cause there's nobody groovin'
A little bit o' soul and
It really starts movin', yeah!

Now when you're in a mess
And you feel like cryin'
Just remember this little
Song of mine
And as you walk through life
Tryin' to reach your goal
Remember what I say 'bout
A little bit o' soul

And if your party falls
'Cause there's nobody groovin'
A little bit o' soul and
It really starts movin', yeah!
A little bit o' soul
A little bit o' soul
A little bit o' soul",0,1980s
1WwmyXC4xVXfbpPFRKeswJ,dear old sun,miranda lambert,"Dear old sun
How you holdin' up?
Through the winter cold
Up there all alone
February's been hard on a heart
But we're near the end
And it's almost March
Though the sky's been grey
And in our way I still see your light

Well, you melt the snow
And you grow the roses
And you dry the tears
And you freckle noses
Our little world
Revolves around
You coming up and going down

Oooooo, Oooooo, Oooooo

Dear old sun
Let's call it a day
And I'll watch you set
I'll let you rest
But wait for you
Like morning's dew
'Til I see your light

Oooooo, Oooooo, Oooooo

I still see your light
I still see your light
Heaven shining down tonight
I still see your light

I still see your light
I still see your light
Heaven shining down tonight
I still see your light

Oooooo, Oooooo",0,2010s
3A70aETyMt4sffFu9Del9s,cinderfella dana dane,dana dane,"Once upon a time, Brooklyn was the scene
In the project that they called Fort Greene
There lived a young man, Cinderfella's his name
To make it interesting it's me, Dana Dane
I lived in a house with my cruel step-dad
And two step-brothers who treated me bad
I cooked, I cleaned, I scrubbed the floors
And I was like an errand boy runnin' to the stores
My brothers, they used to boast and brag:
'We've got fresh gear and you've got rags!'
Even worse than that, to make me feel low
They gave me a straw hat, while they had Kangols
Girls used to say, 'Dane, you're so cute
But you gets no rap with them polyester suits'
Well, one day, up the avenue
There was a man surrounded by the Fort Greene crew
He said, 'Hear ye! Hear ye! Come one, come all!
The princess is having a royal ball
If you can rap, also dress fresh
You might win a date with the sweet princess'
Well I, um, ran home when I heard the newsflash
I bust through the door, straight to my step-dad
I said 'Step-dad, may I?'
And before I could finish, 'Hell no!', he replied
My brothers were goin', they were geared down
Even Pops was goin' for a piece of the crown
They flaunted, they haunted, they knew what I wanted
'We can and you can't' is what they taunted
They all stood there laughing in my face
And as they walked out they said, 'Clean up this place!'

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

Well I shrugged, I hissed, 'They're all tryna diss
I'd get them back if I had one wish'
Before I could make my thought a phrase
There appeared a man from a puff of haze
He said, 'What's up, Dane? My name is Hurb
I'm your fairy godfather, you know it, word!
Now I've came here with the main purpose
Of granting you your fondest wish'
I said, 'Hurb, my man, just make me fresh
And I'm sure that I can handle all the rest'
With a snap of his fingers sparks began to shoot
And I was tough and on my body: a slick silk suit
On my feet there was argyle socks
And a fresh pair of Ballys from the Bally shop
I showed him my hat and don't you know
With a snap the hat became a Kangol
Once again his hands began to flow
Then he changed my skateboard into a Volvo
He checked me over, passed me the keys
And said, 'One more thing before you leave...
You must return before the stroke of twelve
Or you'll turn back into your old self'

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

I jumped in the Volvo, went on my way
I got to the party 'bout ten, I'd say
It was after eleven when I rocked the mic
And by the time I left the stage the people were hyped
The princess was staring in disbelief
Reflected from her eyes were my gold teeth
She waved her hands like 'Hello! Hi!'
Then gave another gesture like 'Come here, guy'
I left the stage, girls came in flocks
Fists were swingin' from the hard rocks
I heard a sound, not a tick nor tock
Gong! First bell before twelve o'clock
No time to waste, I broke out in haste
The princess followed in a futile chase
A quick steady pace is what I kept
Lost one of my Ballys on one of those steps
For the Volvo I continued my stride
About this time I heard gong five
I was down the block when I heard gong eight
And the princess scream out, 'Wait! Wait! Wait! Wait!'

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

I was almost home when my luck ran out
And there went my suit, my Kangol and clothes
My fresh Volvo also went too
And there was no denyin' that my night was through
The one Bally shoe the freshest thing I sported
Jumped on my board, for home I skateboarded
Made it to my pad, no time at all
Went to my room, or better yet the far wall
Hid the shoe away still feelin' pleased
Then jumped in my cot to catch some Z's
Early the next morning when I awoke
I threw on me old slippers and me old housecoat
Went into the front, my family stared at me
Sayin' 'Wasn't that you?! Nah, it couldn't be'
They kept askin' me as I did my chores
My butt was saved by a knock on the door
'Who is it?', that's what my brothers barked
'The princess', this sweet voice remarked
She said she was lookin' for a certain man
Who could bring her the shoe like the one in her hand
The family ran around with their heads in the air
Bringin' on shoes from everywhere
She just shook her head, a nod of relief
Sayin' 'No, that's not the one that I'm lookin' for, chief'
I ran in the room and got my shoe
And said, 'Is this the one you're referring to?'
Well she said, 'Yes, and you're so cute
But where's your Kangol and slick silk suit?'
I put on the shoe, there came a flash of light
And I was tough in the gear from just last night
Looked out the window, saw the Volvo
Said to my family, 'I've got to go'
We drove up the avenue, the princess and I
And in back of me I heard my family cry...

(Cinderfella Dana Dane!)
But I'm the rapper Dana Dane with fame
(Cinderfella Dana Dane!)
Yes, I'm the rapper Dana Dane with fame

(Cinderfella!)
Yes, I'm the rapper Dana Dane with fame
(Cinderfella!)",0,1980s
4YBIuDWPsVy9pXLCUBORZN,the living years,mike the mechanics,"Every generation
Blames the one before
And all of their frustrations
Come beating on your door

I know that I'm a prisoner
To all my father held so dear
I know that I'm a hostage
To all his hopes and fears
I just wish I could have told him in the living years

Oh, crumpled bits of paper
Filled with imperfect thought
Stilted conversations
I'm afraid that's all we've got

You say you just don't see it
He says it's perfect sense
You just can't get agreement
In this present tense
We all talk a different language
Talking in defense

(Say it loud) Say it loud (Say it clear) oh, say it clear
(You can listen as well as you hear)
(It's too late) It's too late (when we die) Oh, when we die
(To admit we don't see eye to eye)

So we open up a quarrel
Between the present and the past
We only sacrifice the future
It's the bitterness that lasts

So don't yield to the fortunes
You sometimes see as fate
It may have a new perspective
On a different date
And if you don't give up, and don't give in
You may just be O.K.

So say it, say it, say it loud (Say it loud)
(Say it clear) Oh, say it clear
(You can listen as well as you hear)
Because it's too late (It's too late)
It's too late (When we die) oh, when we die
To admit we don't see eye to eye

I wasn't there that morning
When my Father passed away
I didn't get to tell him
All the things I had to say

Think I caught his spirit
Later that same year
I'm sure I heard his echo
In my baby's new born tears
I just wish I could have told him in the living years

So say it, say it, say it loud (Say it loud)
(Say it clear) Oh, say it clear
(You can listen as well as you hear)
(It's too late) It's too late
(When we die) It's too late when we die
(To admit we don't see eye to eye)
Hey, so say it, say it, say it loud (Say it loud)
Say it loud (Say it clear) Oh no, say it clear",1,1980s
35anvMc4WfsNXbNnjm9XHs,light up,preach ankobia,"Come mek We Light up, Yeah!
 An Free yu Mind Up, Yeah!
 Di Ganja make you Wise Up, Yeah!
 So me a Light up! Yeah!
 We a Light Up, Yeah! (Ganjah is the healing of the nation)
 An Free you Mind Up! Yeah! (Ganjah is the healing of the nation)
 Di Ganja Make You Wise Up! Yeah (Ganjah makes the mind stay patient)
 So Me a light up! Yeah! (Ganjah make the mind still patience)
 Nothing will get u higher than the ganja whey me Raise
 See that likkle patch ah secret stash yah fi me blaze
 I have a energizer for ur laze
 I have a piece ah mellow when yuh head top full ah craze
 Bag full ah indica
 One bag ah gyal whe' me have down in India
 Tanvi, Bhavisha
 Rupee, Manisha
 Ina, Meena, Aruna & Prisha
 My puppy love was a gyal named Eshia
 I wonder if she loves to bun the rifa like Tika
 Or eating vegan butter chicken like my empress Sheeka
 I used to be a heavy weezer
 Till the ganjah came round and gave my lungs a lil clean up
 If Raw Edie's get you Delirious better steam up
 And if we inna crowd then keep that spliff deh ya between us
 Me nuh business bout no dutty mona lisa
 But I'd fly cross the earth for the top ah top sativa
 Come mek We Light up, Yeah!
 An Free yu Mind Up, Yeah!
 Di Ganja make you Wise Up, Yeah!
 So me a Light up! Yeah!
 We a Light Up, Yeah! (Ganjah is the healing of the nation)
 An Free you Mind Up! Yeah! (Ganjah is the healing of the nation)
 Di Ganja Make You Wise Up! Yeah (Ganjah makes the mind stay patient)
 So Me a light up! Yeah! (Ganjah make the mind still patience)
 Me keep High Grades
 Like a Geek
 Yu Believe dat di
 Strains weh mi blaze
 Tun nuff mann inna idiat
 Weed weh nave seed
 A Roll up like a Tiida
 Me Nahhh Go lace mi spliff
 Like a Reebok
 GimmeDi Good Green Sativa
 An a Me dat
 Hard Day a Work
 It gimme me energy back
 Deh ya pan di Hustle
 A Grinder mek it easier
 Neva have a trouble
 When me bubblin di Steamas
 Legalize di Herb
 Same message as Peter
 Tosh 1 Out di Coma
 Babylon a get Beat Back
 Fada serve a sentence
 All now it no mek sense
 Never get no Justice
 Lock man up fi jus stem
 Everytime me Light up
 Me Honor di Ones dem
 Weh fight fi di rights
 Weh BabyLon did a condemn
 Di Rastaman dem
 Who tell we from when
 Herb Heal the Nation
 This a di Anthem
 Come mek We Light up, Yeah!
 An Free yu Mind Up, Yeah!
 Di Ganja make you Wise Up, Yeah!
 So me a Light up! Yeah!
 We a Light Up, Yeah! (Ganjah is the healing of the nation)
 An Free you Mind Up! Yeah! (Ganjah is the healing of the nation)
 Di Ganja Make You Wise Up! Yeah (Ganjah makes the mind stay patient)
 So Me a light up! Yeah! (Ganjah make the mind still patience)",0,2010s
39J1tyOEwPHKwodeNVtUZk,helping song,cocomelon,"When someone's in trouble
And they need your help
Make sure they're okay
When someone's in trouble
And they need your help
What's the thing to say?
You say...

How can I help?
What can I do?
I want to do a nice thing for you
How can I help?
What can I do?
To make things better for you

When someone's in trouble
And they need your help
Make sure they're okay
When someone's in trouble
And they need your help
What's the thing to say?
You say...

How can I help?
What can I do?
I want to do a nice thing for you
How can I help?
What can I do?
To make things better for you

When someone's in trouble
And they need your help
Make sure they're okay
When someone's in trouble
And they need your help
What's the thing to say?
You say...

How can I help?
What can I do?
I want to do a nice thing for you
How can I help?
What can I do?
To make things better for you

When someone's in trouble
And they need your help
Make sure they're okay
When someone's in trouble
And they need your help
What's the thing to say?
You say...

How can I help?
What can I do?
I want to do a nice thing for you
How can I help?
What can I do?
To make things better for you",0,2020s
4QagSi94JCG8lMTVQjJna4,wrong side of love,cheap trick,"She said that she's got something else on her mind
I'm spending my money but I'm wasting time
It looks to me like the end of the line

Well, she plays both sides and she's making me choose
It's heads she wins and tails I lose
Each time I call, it's another excuse

I thought that I was finally doin' everything right
Now it looks like I'm the one left lonely tonight

I picked the wrong side of love
And I wound up on the losin' end
The wrong side of love
Now I'm starting all over again

She makes me feel like I'm out of control
She comes on hot but she turns ice cold
Her light says stop when I'm ready to go, go

She set me up now she's puttin' me down
Sometimes I feel like a face in the crowd
One day I'm in, the next day I'm out

I thought that I was finally doin' everything right
Now it looks like I'm the one left lonely tonight

Oh, I picked the wrong side of love
And I wound up on the losin' end
The wrong side of love
Now I'm starting all over again, hey hey hey

I picked the wrong side of love
Right place, wrong time
The wrong side of love
Well honey, put me in the right direction

I thought that I was finally doin' everything right
Now it looks like I'm the one left lonely tonight

Picked the wrong side of love
Is there a bad side to love?

I picked the wrong side of love
Now I'm starting all over again
Picked the wrong side of love
And I wound up on the losin' end

Picked the wrong side of love
Now I'm starting all over again
I picked the wrong side of love
And I wound up on the losin' end

Picked the wrong side of love
Now I'm starting all over again
I picked the wrong side of love
Is there a bad side to love?

I picked the wrong side of love
The wrong side of love
I picked the wrong side of love
Is there a bad side to love?

I picked the wrong side of love
I picked the wrong side of love
I picked the wrong side of love",0,1980s
65jrjEhWfAvysKfnojk1i0,under the boardwalk,the drifters,"Oh, when the sun beats down and burns the tar up on the roof
And your shoes get so hot you wish your tired feet were fireproof
Under the boardwalk, down by the sea, yeah
On a blanket with my baby is where I'll be

(Under the boardwalk) out of the sun
(Under the boardwalk) we'll be havin' some fun
(Under the boardwalk) people walking above
(Under the boardwalk) we'll be making love
Under the boardwalk, boardwalk

From the park you hear the happy sound of a carousel
Mm-mm, you can almost taste the hot dogs and French fries they sell
Under the boardwalk, down by the sea
On a blanket with my baby is where I'll be

(Under the boardwalk) out of the sun
(Under the boardwalk) we'll be havin' some fun
(Under the boardwalk) people walking above
(Under the boardwalk) we'll be making love
Under the boardwalk, boardwalk

Oh, under the boardwalk, down by the sea, yeah
On a blanket with my baby is where I'll be

(Under the boardwalk) out of the sun
(Under the boardwalk) we'll be havin' some fun
(Under the boardwalk) people walking above
(Under the boardwalk) we'll be falling in love
Under the boardwalk, boardwalk",1,1960s
0b67TRUHXAJAVlhT7JE7ih,jah promise,johnny osbourne,"Manifestation, woah-oh-oh-oh Lord

Just let the truth manifest itself
'Cause man was made out of love
Forever be to your brothers true
'Cause respect is overdue
How could I be unfaithful
After all the things you have done, Jah Jah

I ain't gonna break my promise to Jah Jah
I ain't gonna break my promise to Him, never
I ain't gonna break my promise to Jah Jah
I ain't gonna break my promise no way, no way (to Him)

He gave the moon to brighten up the night
Oh, how the moonlight glow
He gave the stars, they twinkle in the skies
Oh, we love the starlight so
But how could I be unfaithful
After all the things you have done, Jah Jah

I ain't gonna break my promise to Jah Jah
I ain't gonna break my promise to Him, no way
I ain't gonna break my promise to Jah Jah
I ain't gonna break my promise to Him, no way

I could never, never break it
'Cause that's the way that I make it

He gave the moon to brighten up the night
Oh, how the moonlight glow
He gave the stars, they twinkle in the skies
Oh, how we love the starlight so
How can I be unfaithful
After all the things you have done, Jah Jah

I ain't gonna break my promise to Jah Jah
I ain't gonna break my promise to Him, no way
I ain't gonna break my promise to Jah Jah
I ain't gonna break my promise to Him, 'cause I never-never-never

(I ain't gonna break my promise to Jah Jah)
I will never, never break it
(I ain't gonna break my promise to Jah Jah)
'Cause that's the way I make it",0,1970s
4vVHpCDouUWbOJ4sk367Et,temples on fire,sacred warrior,"Gay rights and porno movies are rampant everywhere
The end result foretold is the disease they share
If sodom and gomorrah came to a fiery end
What makes you think that this place will stay in god's right hand?

Fire, fire falling from heaven, burning up everything
Sea to sea, nothing can stand in the way of the judgement
When it begins with godly desire
Fire, fire, righteous and holy, wiping out all the intended disease
Will you be part of this massive destruction
Or will you be saved from this terrible siege?

You take the little babies from their mama's womb
A jar upon the shelf becomes a cold, darkened tomb
How long do you think god's patience will last
Watching?
It's just a matter of time till his wrath will be released

Fire, fire falling from heaven, burning up everything
Sea to sea, nothing can stand in the way of the judgement
When it begins with godly desire
Fire, fire, righteous and holy, wiping out all the intended disease
Will you be part of this massive destruction
Or will you be saved from this terrible siege?

For sins no different than these god made some cities fall
His warnings went unheeded they wouldn't heed the call
How long do you think god's patience will last
Watching?
It's just a matter of time till his wrath will be released

Fire, fire falling from heaven, burning up everything
Sea to sea, nothing can stand in the way of the judgement
When it begins with godly desire
Fire, fire, righteous and holy, wiping out all the intended disease
Will you be part of this massive destruction
Or will you be saved from this terrible siege?",0,1990s
00Nzbca1kkTH03YmaIhse9,keep on groving,damian marley,"We sing Lord, we've got to keep on moving
 Lord, we've got to get on down
 Lord, we've got to keep on grooving
 Where I can't be found
 Oh, Lord, they coming after me
 Said, I know someday we will find a piece of land
 Somewhere far, far from Babylon
 The war will soon be over and I and I will unite
 The children who liveth in darkness
 Have seen the great light
 It's all about love and affection
 All about the repatriation
 All about I and I freedom
 Wey dem a go do, chuh
 It's all about the Solomon wisdom
 All about the good Holy Kingdom
 All about the few that's chosen
 Wey dem a go do, well
 These are the times yuh better know yourself
 Big up Ragamuffin' 'cause you full up of strength
 Leave all the masses by a donkey length
 So pray daily so we life of lent
 Bless my eyes today as I would say
 Some only pray when the skies are gray
 I said, bless my eyes today as I would say
 Some only pray when the skies are gray
 I know someday we will find a piece of land
 Somewhere far far far from Babylon
 Then we will be together in love and unity
 Then we will be together in Mt. Zion
 It's all about love and affection
 All about the repatriation
 All about I and I freedom
 Wey dem a go do, chuh
 All about the Solomon wisdom
 All about the good Holy Kingdom
 All about the few that's chosen
 Wey dem a go do, well
 These are the times yuh better know yourself
 Big up Ragamuffin', 'cause you full up of strength
 Leave all the masses by a donkey length
 Pray daily so we life on lent
 Bless my eyes today as I would say
 Some only pray when the skies are gray
 I said, bless my eyes today as I would say
 Some only pray when the skies are gray
 I've been accused on my mission
 Lord, knows I didn't do
 The enemy, they were willing, yeah, yeah, yeah
 And that's why I've got to get on through
 Lord, they're gunning after me
 And I know someday, find a piece of land
 Somewhere far, far, far from Babylon
 Then we will be together in peace and harmony
 Then we'll be together in Mt. Zion
 It's all about love and affection
 All about the repatriation
 All about I and I freedom
 Wey dem a go do, chuh
 All about the Solomon wisdom
 All about the good Holy Kingdom
 All about the few that's chosen
 Wey dem a go do, well
 These are the times yuh better know yourself
 Big up Ragamuffin', 'cause you full up of strength
 Leave all the masses by a donkey length
 Pray daily so we life on lent
 Bless my eyes today as I would say
 Some only pray when the skies are gray
 I said, bless my eyes today as I would say
 Some only pray when the skies are gray
 It's all about love and affection
 All about the repatriation
 All about I and I freedom
 Wey dem a go do, chuh",0,1990s
